ID_Cliente,Nombre_Cliente,Fecha_Registro,Antiguedad_Dias,Segmento,Puntaje_Fidelidad,Canal_Preferido,Region,Estado,Fecha_Actualizacion,ID_Pedido,Fecha_Pedido,Modo_Envio,Prioridad,Estado_Pedido,Ventas,Etiqueta_Ventas,Ganancia,Etiqueta_Ganancia,Margen_Rentabilidad_%,Nombre_Producto,Cantidad,Categoria,Subcategoria,Marca
C0174,Nicolás Martínez,2021-11-09,1238,Corporativo,18,Correo,Sur,Los Lagos,2024-12-26,ORD-2023-00001,2025-03-31,Estándar,Crítica,Completado,590.86,Normal,322.42,Normal,54.57,Papelería Eco 2,1,Oficina,Papelería,Orion
C0174,Nicolás Martínez,2021-11-09,1238,Corporativo,18,Correo,Sur,Los Lagos,2024-12-26,ORD-2023-00001,2025-03-31,Estándar,Media,Completado,4341.68,Normal,1907.85,Normal,43.94,Sobres Plus 9,7,Oficina,Sobres,Andes
C0174,Nicolás Martínez,2021-11-09,1238,Corporativo,18,Correo,Sur,Los Lagos,2024-12-26,ORD-2023-00001,2025-03-31,Estándar,Crítica,Completado,1250.86,Normal,281.32,Normal,22.49,Sillas Plus 8,2,Muebles,Sillas,Orion
C0174,Nicolás Martínez,2021-11-09,1238,Corporativo,18,Correo,Sur,Los Lagos,2024-12-26,ORD-2023-00001,2025-03-31,Estándar,Media,Completado,244.35,Normal,64.85,Normal,26.54,Almacenamiento Nova 9,5,Muebles,Almacenamiento,Alerce
C0254,Isidora Rojas,2022-09-26,546,Consumidor,71,Correo,Sur,Biobío,2024-01-29,ORD-2023-00002,2024-03-25,Segunda Clase,Baja,Completado,629.31,Normal,115.33,Normal,18.33,Papelería Flex 7,1,Oficina,Papelería,Andes
C0254,Isidora Rojas,2022-09-26,546,Consumidor,71,Correo,Sur,Biobío,2024-01-29,ORD-2023-00002,2024-03-25,Segunda Clase,Alta,Completado,1429.92,Normal,529.33,Normal,37.02,Computadores Plus 1,2,Tecnología,Computadores,Andes
C0203,Ignacio Araya,2023-08-06,198,Corporativo,67,Web,Centro,Valparaíso,2025-01-25,ORD-2023-00003,2024-02-20,Estándar,Alta,Completado,3186.84,Normal,1333.8,Normal,41.85,Archivadores Flex 3,6,Oficina,Archivadores,Vector
C0203,Ignacio Araya,2023-08-06,198,Corporativo,67,Web,Centro,Valparaíso,2025-01-25,ORD-2023-00003,2024-02-20,Estándar,Baja,Completado,787.14,Normal,-68.77,Normal,-8.74,Computadores Eco 9,4,Tecnología,Computadores,Patagonia
C0203,Ignacio Araya,2023-08-06,198,Corporativo,67,Web,Centro,Valparaíso,2025-01-25,ORD-2023-00003,2024-02-20,Estándar,Baja,Completado,1007.23,Normal,179.29,Normal,17.8,Periféricos Flex 4,3,Tecnología,Periféricos,Orion
C0258,Fernanda Silva,2023-11-29,-31,Corporativo,20,Teléfono,Centro,Maule,2024-11-26,ORD-2023-00004,2023-10-29,Primera Clase,Media,Enviado,2247.17,Normal,378.49,Normal,16.84,Papelería Plus 9,8,Oficina,Papelería,Vector
